age_category,age_order,sex,total_count,hd_count,hd_rate_pct
18-24,1,Female,131,2,1.53
18-24,1,Male,136,0,0.0
25-29,2,Female,120,0,0.0
25-29,2,Male,103,2,1.94
30-34,3,Female,152,0,0.0
30-34,3,Male,117,2,1.71
35-39,4,Female,145,0,0.0
35-39,4,Male,126,7,5.56
40-44,5,Female,172,5,2.91
40-44,5,Male,126,4,3.17
45-49,6,Female,177,5,2.82
45-49,6,Male,136,7,5.15
50-54,7,Female,229,19,8.3
50-54,7,Male,157,18,11.46
55-59,8,Female,240,24,10.0
55-59,8,Male,154,15,9.74
60-64,9,Female,268,24,8.96
60-64,9,Male,201,39,19.4
65-69,10,Female,305,37,12.13
65-69,10,Male,232,44,18.97
70-74,11,Female,262,40,15.27
70-74,11,Male,176,46,26.14
75-79,12,Female,195,33,16.92
75-79,12,Male,125,40,32.0
80 or older,13,Female,204,38,18.63
80 or older,13,Male,105,32,30.48
